account_id,customer_name,age,occupation,monthly_income,income_band,province,account_open_date,bot_confirmed_mule,bot_flagged_date,connected_component_id,community_id,pagerank_score,triangle_count,two_hop_ratio,device_pattern_cluster,behavior_profile,total_inflow_thb,total_outflow_thb,unique_senders,unique_receivers,avg_hold_time_hours,risk_score
A-1000,ประเสริฐ พลอยแก้ว,18,freelance,10000.00,<15K,Bangkok,2025-08-14,f,,0,0,0.227884,712,1,17179869184,pass_through,94092336.40,100087064.89,20,198,179.47,0.6375
A-1001,สมหญิง นาคสุข,18,student,10000.00,<15K,Bangkok,2025-08-16,t,2025-11-26,0,833223655424,0.183065,141,1,25769803776,pass_through,5968468.39,12841666.04,15,21,178.98,0.6091
A-1002,ปรัชญา สุขสวัสดิ์,24,unemployed,15000.00,<15K,Chonburi,2025-11-15,f,,0,833223655424,0.197188,145,1,1030792151040,pass_through,4033911.55,10637785.44,17,17,173.21,0.5189
A-1003,อรุณี เจริญผล,23,freelance,10000.00,<15K,Bangkok,2025-08-12,f,,0,833223655424,0.206441,144,1,17179869184,pass_through,7653748.41,14368259.86,18,22,179.84,0.5237
A-1004,ปวีณา แซ่ลิ้ม,23,freelance,8000.00,<15K,Bangkok,2025-10-13,f,,0,833223655424,0.211899,153,1,17179869184,pass_through,6550407.31,18183396.58,19,22,195.32,0.5296
A-1005,ชุติมา กิจเจริญ,23,unemployed,8000.00,<15K,Rayong,2025-06-29,t,2025-11-17,0,833223655424,0.218428,140,1,25769803776,pass_through,6640726.07,10820494.51,19,19,178.44,0.6285
A-1006,พรทิพย์ ชัยสิทธิ์,19,part_time_worker,12000.00,<15K,Bangkok,2025-10-12,t,2025-12-06,0,833223655424,0.219923,142,1,25769803776,pass_through,7087029.74,13447154.06,19,21,169.21,0.6292
A-1007,ปิยะดา ใจดี,22,student,10000.00,<15K,Bangkok,2025-11-01,f,,0,833223655424,0.218749,140,1,1030792151040,pass_through,8677802.23,11945623.12,19,19,178.54,0.5286
A-1008,สุรชัย ธนาคม,34,unemployed,12000.00,<15K,Bangkok,2025-07-02,t,2025-11-20,0,833223655424,0.211855,147,1,1030792151040,pass_through,6924165.54,17916948.47,19,23,171.15,0.6285
A-1009,ลัดดา ใจดี,23,unemployed,15000.00,<15K,Bangkok,2025-09-27,f,,0,833223655424,0.1938,142,1,919123001344,pass_through,5389973.91,11186478.33,15,20,182.46,0.5115
A-1010,สมศักดิ์ ตันติกุล,22,part_time_worker,15000.00,<15K,Bangkok,2025-09-18,f,,0,833223655424,0.181377,144,1,678604832768,pass_through,5256796.69,12947073.34,15,20,180.68,0.5093
A-1011,จันทร์เพ็ญ แซ่ลิ้ม,27,unemployed,10000.00,<15K,Bangkok,2025-10-04,f,,0,833223655424,0.238425,155,1,833223655424,pass_through,8994798.21,16214819.55,24,25,183.03,0.5509
A-1012,ชุติมา วัฒนา,22,student,8000.00,<15K,Bangkok,2025-11-02,f,,0,833223655424,0.207763,132,1,1503238553600,pass_through,6749825.91,14151917.49,21,17,182.46,0.5312
A-1013,วันดี เจริญผล,25,student,12000.00,<15K,Khon Kaen,2025-10-24,f,,0,833223655424,0.190435,127,1,1228360646656,pass_through,5846411.84,10772460.14,18,16,195.69,0.5174
A-1014,นิภา รุ่งเรือง,34,unemployed,10000.00,<15K,Chiang Rai,2025-09-21,f,,0,833223655424,0.203697,149,1,996432412672,pass_through,6262465.77,12925173.08,18,24,162.77,0.5241
A-1015,ภูมิพัฒน์ ชูศรี,18,student,12000.00,<15K,Chiang Mai,2025-09-04,t,2025-11-23,0,833223655424,0.220543,143,1,764504178688,pass_through,7403543.55,10449036.12,20,21,162.02,0.6326
A-1016,ปิยะดา สมบูรณ์,27,unemployed,10000.00,<15K,Bangkok,2025-10-17,f,,0,833223655424,0.197395,143,1,154618822656,pass_through,6748825.21,18151998.49,16,23,186.83,0.5155
A-1017,ลัดดา แซ่ตั้ง,21,unemployed,12000.00,<15K,Bangkok,2025-09-28,t,2025-11-17,0,833223655424,0.224073,148,1,1090921693184,pass_through,8850805.49,14708198.84,21,21,194.75,0.6373
A-1018,นพดล นาคสุข,19,unemployed,10000.00,<15K,Chiang Mai,2025-07-04,f,,0,0,0.192522,683,1,721554505728,pass_through,92631446.98,95916999.15,16,193,142.35,0.6127
A-1019,พรรณี วัฒนา,19,student,10000.00,<15K,Chiang Mai,2025-07-05,f,,0,1099511627776,0.182146,105,1,644245094400,pass_through,8497020.80,14880352.86,15,15,154.49,0.5024
A-1020,พิมพ์ชนก สว่างวงศ์,25,unemployed,10000.00,<15K,Nakhon Ratchasima,2025-11-11,f,,0,1099511627776,0.19957,123,1,420906795008,pass_through,7835408.08,17223831.30,19,19,155.8,0.5217
A-1021,สุทธิพงศ์ พงษ์สวัสดิ์,24,freelance,15000.00,<15K,Nonthaburi,2025-10-01,f,,0,1099511627776,0.220177,141,1,721554505728,pass_through,6740626.02,13061030.39,25,22,153.6,0.5478
A-1022,เกียรติศักดิ์ แสงจันทร์,24,freelance,8000.00,<15K,Chiang Mai,2025-08-20,f,,0,1099511627776,0.197862,118,1,721554505728,pass_through,6734967.94,18862532.76,17,26,135.41,0.5142
A-1023,พรรณี นาคสุข,25,unemployed,8000.00,<15K,Chiang Mai,2025-10-09,f,,0,1099511627776,0.193608,138,1,644245094400,pass_through,6420800.20,14065388.44,19,24,138.1,0.5232
A-1024,วรพล มงคลชัย,18,student,10000.00,<15K,Lampang,2025-07-30,t,2025-11-22,0,1099511627776,0.168941,105,1,644245094400,pass_through,5810067.40,15620676.11,13,19,151.1,0.5935
A-1025,เบญจมาศ ใจดี,24,student,15000.00,<15K,Chiang Mai,2025-08-24,t,2025-12-10,0,1099511627776,0.1929,110,1,644245094400,pass_through,9679313.68,16878476.24,17,23,143.84,0.6117
A-1026,สุรชัย อินทร์แก้ว,25,unemployed,10000.00,<15K,Bangkok,2025-09-01,f,,0,1099511627776,0.190189,118,1,420906795008,pass_through,6074666.01,14484756.81,17,24,148.23,0.5126
A-1027,วันดี ชัยสิทธิ์,26,student,15000.00,<15K,Chiang Mai,2025-10-24,t,2025-11-22,0,1099511627776,0.205931,125,1,420906795008,pass_through,6560924.61,13966868.42,21,21,128.99,0.6295
A-1028,วีรยุทธ ชูศรี,20,student,8000.00,<15K,Chiang Mai,2025-08-17,f,,0,1099511627776,0.20642,124,1,420906795008,pass_through,8198147.82,15944817.82,20,21,151.29,0.5263
A-1029,พงศ์พัฒน์ ธนาคม,19,part_time_worker,12000.00,<15K,Chiang Mai,2025-08-23,t,2025-12-14,0,1099511627776,0.189272,115,1,1632087572480,pass_through,7572159.02,17056555.65,17,22,142.7,0.6119
A-1030,อภิสิทธิ์ ชูศรี,22,part_time_worker,12000.00,<15K,Chiang Mai,2025-07-06,f,,0,1099511627776,0.204046,122,1,51539607552,pass_through,8923864.93,13771107.34,21,20,145.71,0.5286
A-1031,พรทิพย์ กิจเจริญ,22,unemployed,12000.00,<15K,Chiang Mai,2025-07-05,t,2025-12-13,0,1099511627776,0.193409,126,1,446676598784,pass_through,9485733.86,12467210.54,19,21,129.94,0.621
A-1032,กัญญา สมบูรณ์,30,student,12000.00,<15K,Chiang Mai,2025-07-14,t,2025-11-15,0,1099511627776,0.193596,122,1,1245540515840,pass_through,7142051.33,14407423.65,19,17,140.79,0.6203
A-1033,ธนพร สมบูรณ์,20,freelance,12000.00,<15K,Chiang Mai,2025-08-10,f,,0,1099511627776,0.201224,128,1,1434519076864,pass_through,6838492.60,15938302.90,20,22,173.58,0.526
A-1034,พีรพัฒน์ รัตนกุล,18,student,15000.00,<15K,Khon Kaen,2025-08-27,f,,0,0,0.203889,736,1,103079215104,pass_through,97372383.11,101754616.31,19,204,203.38,0.634
A-1035,วีรยุทธ สิทธิชัย,25,part_time_worker,8000.00,<15K,Chonburi,2025-07-16,f,,0,558345748480,0.191341,88,1,498216206336,pass_through,8455898.13,15928611.17,18,16,206.14,0.5105
A-1036,จิรายุ แก้วมณี,35,unemployed,15000.00,<15K,Nakhon Ratchasima,2025-07-20,t,2025-11-17,0,558345748480,0.179607,89,1,231928233984,pass_through,8690324.96,19089722.29,16,19,208.62,0.6021
A-1037,พิมพ์ชนก ชัยสิทธิ์,19,freelance,15000.00,<15K,Samut Prakan,2025-07-27,t,2025-11-25,0,558345748480,0.206302,94,1,103079215104,pass_through,8856322.04,14219873.47,22,16,199.86,0.6271
A-1038,สุกัญญา อมรรัตน์,24,student,10000.00,<15K,Chonburi,2025-09-11,f,,0,558345748480,0.195828,95,1,103079215104,pass_through,10643179.91,19187636.48,19,21,198.41,0.5158
A-1039,กฤษณะ ใจดี,27,part_time_worker,8000.00,<15K,Chonburi,2025-10-16,f,,0,558345748480,0.195744,96,1,498216206336,pass_through,7571950.06,16833809.15,18,19,219.09,0.5129
A-1040,กิตติพงศ์ ศรีสุข,29,unemployed,8000.00,<15K,Khon Kaen,2025-08-06,f,,0,558345748480,0.202233,107,1,498216206336,pass_through,8483995.84,19717650.17,20,24,228.06,0.5224
A-1041,ณัฐธิดา ประเสริฐศรี,24,freelance,8000.00,<15K,Chonburi,2025-07-17,f,,0,558345748480,0.189057,100,1,231928233984,pass_through,8246619.38,15014013.82,18,16,224.56,0.5122
A-1042,อรุณี คำแก้ว,26,student,15000.00,<15K,Surat Thani,2025-09-14,f,,0,558345748480,0.192314,92,1,231928233984,pass_through,9388049.60,13912164.97,17,18,216.65,0.5083
A-1043,สราวุธ พลอยแก้ว,21,freelance,8000.00,<15K,Pathum Thani,2025-10-07,f,,0,558345748480,0.196724,104,1,1400159338496,pass_through,8494904.45,17295970.14,19,19,217.74,0.5176
A-1044,ปวีณา วัฒนา,29,freelance,15000.00,<15K,Nonthaburi,2025-07-05,t,2025-11-17,0,558345748480,0.185368,88,1,953482739712,pass_through,8017068.62,17919225.55,15,21,236.5,0.5999
A-1045,ณัฐพล นาคสุข,30,freelance,15000.00,<15K,Chonburi,2025-09-09,t,2025-12-08,0,558345748480,0.19524,89,1,34359738368,pass_through,6621583.66,15977368.06,18,20,218.15,0.6115
A-1046,สมหญิง พานิชย์,24,unemployed,12000.00,<15K,Chonburi,2025-09-29,t,2025-11-19,0,558345748480,0.194382,91,1,94489280512,pass_through,9018835.02,17272188.89,18,20,206.09,0.6117
A-1047,วันดี สว่างวงศ์,23,part_time_worker,15000.00,<15K,Samut Prakan,2025-10-09,f,,0,558345748480,0.197134,96,1,962072674304,pass_through,7701437.18,19913587.94,19,18,189.1,0.5163
A-1048,ชุติมา อมรรัตน์,27,freelance,12000.00,<15K,Nakhon Ratchasima,2025-07-11,f,,0,0,0.193243,825,1,1211180777473,pass_through,100778057.28,117158802.29,17,208,125.23,0.6418
A-1049,พัชรี ศรีสุข,28,student,8000.00,<15K,Khon Kaen,2025-08-19,f,,0,1434519076865,0.187556,66,1,652835028992,pass_through,8982404.41,19542975.50,17,12,128.58,0.5026
A-1050,สมศักดิ์ สุขสวัสดิ์,35,unemployed,15000.00,<15K,Rayong,2025-10-22,t,2025-12-12,0,1434519076865,0.200103,77,1,163208757248,pass_through,10671171.67,18196844.41,21,15,130.28,0.6196
A-1051,กมลวรรณ รุ่งเรือง,27,part_time_worker,10000.00,<15K,Khon Kaen,2025-08-02,t,2025-11-28,0,1434519076865,0.211028,91,1,1211180777473,pass_through,11635877.26,21234436.49,22,24,129.66,0.6275
A-1052,นิภา ศรีวิชัย,19,part_time_worker,10000.00,<15K,Khon Kaen,2025-10-14,t,2025-12-13,0,1434519076865,0.196017,73,1,1211180777473,pass_through,9779361.80,16485536.66,19,19,121.41,0.6119
